?,Allo Elav,1,jintus-leader1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kukag Eligne,1,jintus-leader2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Dis Geti,1,jintus-leader3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hegli Uklitt,1,jintus-leader4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hulba Erus,1,jintus-leader1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Dis Geti,1,jintus-leader2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gavna Zokogs,1,jintus-leader3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gegne Ukdrikbok,1,jintus-leader4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kukag Eluta,1,jintus-leader1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kihlu Voppertt,1,jintus-leader2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gegne Geti,1,jintus-leader3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Zan Elav,1,jintus-leader4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kiks Egram,1,jintus-leader1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Dopo Vugg,1,jintus-leader2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hax Uhlbakss,1,jintus-leader3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gikre Rernex,1,jintus-leader4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gilo Zulalppe,1,jintus-leader1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Goggi Vebli,1,jintus-leader2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Haks Keltra,1,jintus-leader3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hag Rokit,1,jintus-leader4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Egga Agev,2,jintus-diplomat1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Egri Mukk,2,jintus-diplomat2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gegne Retikki,2,jintus-diplomat3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Koggi Vugg,2,jintus-diplomat4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kuta Zerkeru,2,jintus-diplomat1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kaglu Geti,2,jintus-diplomat2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kiks Keltra,2,jintus-diplomat3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gegni Ulok,2,jintus-diplomat4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kirn Ubltr,2,jintus-diplomat1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Kogs Ubltr,2,jintus-diplomat2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Gikbo Vugg,2,jintus-diplomat3.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hulba Ukoge,2,jintus-diplomat4.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Hax Uvulu,2,jintus-diplomat1.png,jintus,?,?,?,?,?,?,?,?,?,?,?
?,Elpu Ulok,2,jintus-diplomat2.png,jintus,?,?,?,?,?,?,?,?,?,?,?
